X,id,MUNI,SITE,STATE,NSPECIES,NPIC,NSONG,RHAMERICANA
16395,4302451,BOQUEIRAO DO LEAO,RS,RIO GRANDE DO SUL,50,61,0,0
16387,4302501,BOSSOROCA,RS,RIO GRANDE DO SUL,13,10,3,1
16366,4302584,BOZANO,RS,RIO GRANDE DO SUL,208,270,49,0
16362,4302600,BRAGA,RS,RIO GRANDE DO SUL,4,6,0,0
16361,4302659,BROCHIER,RS,RIO GRANDE DO SUL,5,6,0,0
16351,4302709,BUTIA,RS,RIO GRANDE DO SUL,64,75,1,0
16313,4302808,CACAPAVA DO SUL,RS,RIO GRANDE DO SUL,336,401,28,1
16283,4302907,CACEQUI,RS,RIO GRANDE DO SUL,109,123,0,1
16243,4303004,CACHOEIRA DO SUL,RS,RIO GRANDE DO SUL,299,380,5,0
16212,4303103,CACHOEIRINHA,RS,RIO GRANDE DO SUL,103,91,27,0
16209,4303202,CACIQUE DOBLE,RS,RIO GRANDE DO SUL,3,3,0,0
16196,4303301,CAIBATE,RS,RIO GRANDE DO SUL,90,114,7,1
16180,4303400,CAICARA,RS,RIO GRANDE DO SUL,100,112,1,0
16148,4303509,CAMAQUA,RS,RIO GRANDE DO SUL,470,650,6,1
16102,4303608,CAMBARA DO SUL,RS,RIO GRANDE DO SUL,1198,2019,99,0
16079,4303673,CAMPESTRE DA SERRA,RS,RIO GRANDE DO SUL,38,32,13,0
16071,4303707,CAMPINA DAS MISSOES,RS,RIO GRANDE DO SUL,48,52,0,0
16070,4303806,CAMPINAS DO SUL,RS,RIO GRANDE DO SUL,12,14,0,0
16048,4303905,CAMPO BOM,RS,RIO GRANDE DO SUL,74,84,5,0
16038,4304002,CAMPO NOVO,RS,RIO GRANDE DO SUL,41,45,5,0
16034,4304101,CAMPOS BORGES,RS,RIO GRANDE DO SUL,49,74,0,1
16012,4304200,CANDELARIA,RS,RIO GRANDE DO SUL,71,66,28,0
15993,4304309,CANDIDO GODOI,RS,RIO GRANDE DO SUL,162,274,0,0
15957,4304358,CANDIOTA,RS,RIO GRANDE DO SUL,1408,1652,164,1
15908,4304408,CANELA,RS,RIO GRANDE DO SUL,1102,1615,105,0
15866,4304507,CANGUCU,RS,RIO GRANDE DO SUL,454,555,35,0
15825,4304606,CANOAS,RS,RIO GRANDE DO SUL,369,453,18,0
15816,4304614,CANUDOS DO VALE,RS,RIO GRANDE DO SUL,9,10,0,0
15808,4304622,CAPAO BONITO DO SUL,RS,RIO GRANDE DO SUL,32,38,0,0
15763,4304630,CAPAO DA CANOA,RS,RIO GRANDE DO SUL,823,1215,9,0
15716,4304663,CAPAO DO LEAO,RS,RIO GRANDE DO SUL,1037,1503,143,1
15674,4304689,CAPELA DE SANTANA,RS,RIO GRANDE DO SUL,67,86,4,0
15667,4304697,CAPITAO,RS,RIO GRANDE DO SUL,17,23,0,0
15687,4304671,CAPIVARI DO SUL,RS,RIO GRANDE DO SUL,115,141,1,1
15609,4304713,CARAA,RS,RIO GRANDE DO SUL,54,61,0,0
15629,4304705,CARAZINHO,RS,RIO GRANDE DO SUL,483,548,87,0
15588,4304804,CARLOS BARBOSA,RS,RIO GRANDE DO SUL,145,218,11,0
15576,4304903,CASCA,RS,RIO GRANDE DO SUL,301,513,2,0
15564,4304952,CASEIROS,RS,RIO GRANDE DO SUL,80,90,5,0
15545,4305009,CATUIPE,RS,RIO GRANDE DO SUL,161,199,0,1
15500,4305108,CAXIAS DO SUL,RS,RIO GRANDE DO SUL,1288,1454,261,0
15495,4305116,CENTENARIO,RS,RIO GRANDE DO SUL,1,1,0,0
15478,4305124,CERRITO,RS,RIO GRANDE DO SUL,60,62,5,1
15473,4305132,CERRO BRANCO,RS,RIO GRANDE DO SUL,10,11,0,0
15471,4305157,CERRO GRANDE,RS,RIO GRANDE DO SUL,9,11,0,0
15464,4305173,CERRO GRANDE DO SUL,RS,RIO GRANDE DO SUL,39,43,0,0
15441,4305207,CERRO LARGO,RS,RIO GRANDE DO SUL,216,264,6,0
15432,4305306,CHAPADA,RS,RIO GRANDE DO SUL,49,53,0,1
15408,4305355,CHARQUEADAS,RS,RIO GRANDE DO SUL,115,128,3,0
15404,4305405,CHIAPETTA,RS,RIO GRANDE DO SUL,5,5,0,0
15369,4305439,CHUI,RS,RIO GRANDE DO SUL,208,232,1,1
15365,4305447,CHUVISCA,RS,RIO GRANDE DO SUL,2,2,0,0
15328,4305454,CIDREIRA,RS,RIO GRANDE DO SUL,422,687,17,1
15317,4305504,CIRIACO,RS,RIO GRANDE DO SUL,31,32,2,0
15289,4305587,COLINAS,RS,RIO GRANDE DO SUL,117,124,3,0
NA,NA,COLORADO,RS,RIO GRANDE DO SUL,NA,133,8,1
15264,4305702,CONDOR,RS,RIO GRANDE DO SUL,16,24,2,0
15263,4305801,CONSTANTINA,RS,RIO GRANDE DO SUL,2,2,0,0
15240,4305835,COQUEIRO BAIXO,RS,RIO GRANDE DO SUL,169,130,81,0
15230,4305850,COQUEIROS DO SUL,RS,RIO GRANDE DO SUL,106,96,10,0
15225,4305871,CORONEL BARROS,RS,RIO GRANDE DO SUL,12,11,4,0
15221,4305900,CORONEL BICACO,RS,RIO GRANDE DO SUL,7,9,0,1
15203,4305959,COTIPORA,RS,RIO GRANDE DO SUL,90,77,29,0
15170,4305975,COXILHA,RS,RIO GRANDE DO SUL,403,534,7,1
15160,4306007,CRISSIUMAL,RS,RIO GRANDE DO SUL,42,54,0,0
15137,4306056,CRISTAL,RS,RIO GRANDE DO SUL,64,71,1,0
15135,4306072,CRISTAL DO SUL,RS,RIO GRANDE DO SUL,17,17,0,0
15099,4306106,CRUZ ALTA,RS,RIO GRANDE DO SUL,2021,3197,246,1
15066,4306304,DAVID CANABARRO,RS,RIO GRANDE DO SUL,31,37,0,0
15024,4306320,DERRUBADAS,RS,RIO GRANDE DO SUL,1993,3815,348,0
15008,4306353,DEZESSEIS DE NOVEMBRO,RS,RIO GRANDE DO SUL,55,72,3,0
14974,4306379,DILERMANDO DE AGUIAR,RS,RIO GRANDE DO SUL,1044,1290,200,1
14936,4306403,DOIS IRMAOS,RS,RIO GRANDE DO SUL,812,753,245,0
14919,4306429,DOIS IRMAOS DAS MISSOES,RS,RIO GRANDE DO SUL,251,271,40,1
